Equipos,Ingresos,Gastos,Balance Total,I.E
Universidad de Chile,2.520.000,2.830.000,-305.000,€
CSD Colo Colo,7.070.0000,1.980.000,5.090.000,€
CD Universidad Católica,245.000,145.000,100.000,€
Unión San Felipe,0,140.000,-140.000,€
Santiago Wanders,0,0,0,€
Unión Española,1.000.000,0,1.000.000,€
Universidad Cincepción,0,0,0,€
Deportes La Serena,0,0,0,€
Audax Italiano,7.100.000,0,7.100.000,€
Club Deportivo Huachipato,420.000,0,420.000,€
CD Palestino,20.000,0,20.000,€
CD Everton,1.230.000,0,1.230.000,€
Deportes Cobreloa,1.150.000,0,1.150.000,€
CD O'Higgins,0,0,0,€
CD Santiago Morning,350.000,0,350.000,€
CD Ñublense,0,0,0,€
CD Cobresal,0,0,0,€
CD San Luis de Quillota,0,0,0,€